ST.Date.H,A_Win.speed,A_Occurrence,B_ST.Date.H,B_Win.speed,B_Occurrence,C_ST.Date.H,C_Win.speed,C_Occurrence,D_ST.Date.H,D_Win.speed,D_Occurrence
SM4-A.2023-11-13 16:00:00,9.54,0,SM4-B.2023-11-13 16:00:00,8.36,0,SM4-C.2023-11-13 16:00:00,6.27,0,SM4-D.2023-11-13 16:00:00,7.14,0
SM4-A.2023-11-13 17:00:00,9.47,21,SM4-B.2023-11-13 17:00:00,9,9,SM4-C.2023-11-13 17:00:00,7.91,2,SM4-D.2023-11-13 17:00:00,7.2,2
SM4-A.2023-11-13 18:00:00,7.97,6,SM4-B.2023-11-13 18:00:00,7.39,4,SM4-C.2023-11-13 18:00:00,6.11,56,SM4-D.2023-11-13 18:00:00,5.71,16
SM4-A.2023-11-13 19:00:00,6.68,11,SM4-B.2023-11-13 19:00:00,5.94,4,SM4-C.2023-11-13 19:00:00,5.99,20,SM4-D.2023-11-13 19:00:00,6.23,7
SM4-A.2023-11-13 20:00:00,6.07,8,SM4-B.2023-11-13 20:00:00,5.26,52,SM4-C.2023-11-13 20:00:00,7.46,1,SM4-D.2023-11-13 20:00:00,8.39,3
SM4-A.2023-11-13 21:00:00,6.36,3,SM4-B.2023-11-13 21:00:00,6.11,8,SM4-C.2023-11-13 21:00:00,8.16,13,SM4-D.2023-11-13 21:00:00,8.31,0
SM4-A.2023-11-13 22:00:00,5.78,6,SM4-B.2023-11-13 22:00:00,5.35,16,SM4-C.2023-11-13 22:00:00,7.44,7,SM4-D.2023-11-13 22:00:00,8.15,0
SM4-A.2023-11-13 23:00:00,4.73,21,SM4-B.2023-11-13 23:00:00,4.8,15,SM4-C.2023-11-13 23:00:00,4.72,23,SM4-D.2023-11-13 23:00:00,6.65,1
SM4-A.2023-11-14,6.82,8,SM4-B.2023-11-14,6.02,5,SM4-C.2023-11-14,5.42,26,SM4-D.2023-11-14,5.6,2
SM4-A.2023-11-14 01:00:00,5.78,3,SM4-B.2023-11-14 01:00:00,5.8,10,SM4-C.2023-11-14 01:00:00,4.29,21,SM4-D.2023-11-14 01:00:00,5.44,1
SM4-A.2023-11-14 02:00:00,5.78,2,SM4-B.2023-11-14 02:00:00,4.8,0,SM4-C.2023-11-14 02:00:00,3.43,32,SM4-D.2023-11-14 02:00:00,5.5,1
SM4-A.2023-11-14 03:00:00,6.25,0,SM4-B.2023-11-14 03:00:00,5.48,38,SM4-C.2023-11-14 03:00:00,6.17,1,SM4-D.2023-11-14 03:00:00,5.73,3
SM4-A.2023-11-14 04:00:00,5.29,3,SM4-B.2023-11-14 04:00:00,3.62,65,SM4-C.2023-11-14 04:00:00,5.47,6,SM4-D.2023-11-14 04:00:00,4.7,5
SM4-A.2023-11-14 05:00:00,4.68,4,SM4-B.2023-11-14 05:00:00,3.38,8,SM4-C.2023-11-14 05:00:00,3.89,1,SM4-D.2023-11-14 05:00:00,4.67,5
SM4-A.2023-11-14 06:00:00,5.23,0,SM4-B.2023-11-14 06:00:00,4.07,0,SM4-C.2023-11-14 06:00:00,4.52,0,SM4-D.2023-11-14 06:00:00,4.26,0
SM4-A.2023-11-14 07:00:00,5.77,0,SM4-B.2023-11-14 07:00:00,4.53,0,SM4-C.2023-11-14 07:00:00,4.18,0,SM4-D.2023-11-14 07:00:00,4.76,0
SM4-A.2023-11-14 08:00:00,6.69,0,SM4-B.2023-11-14 08:00:00,5.73,0,SM4-C.2023-11-14 08:00:00,5.12,0,SM4-D.2023-11-14 08:00:00,6.68,0
SM4-A.2023-11-14 09:00:00,5.57,0,SM4-B.2023-11-14 09:00:00,4.67,0,SM4-C.2023-11-14 09:00:00,5.08,0,SM4-D.2023-11-14 09:00:00,6.02,0
SM4-A.2023-11-14 10:00:00,7.12,0,SM4-B.2023-11-14 10:00:00,7.06,0,SM4-C.2023-11-14 10:00:00,7.41,0,SM4-D.2023-11-14 10:00:00,7.74,0
SM4-A.2023-11-14 11:00:00,8.15,0,SM4-B.2023-11-14 11:00:00,7.71,0,SM4-C.2023-11-14 11:00:00,8.77,0,SM4-D.2023-11-14 11:00:00,9.15,0
SM4-A.2023-11-14 12:00:00,7.58,0,SM4-B.2023-11-14 12:00:00,7.28,0,SM4-C.2023-11-14 12:00:00,7.36,0,SM4-D.2023-11-14 12:00:00,8.73,0
SM4-A.2023-11-14 13:00:00,6.9,0,SM4-B.2023-11-14 13:00:00,7.03,0,SM4-C.2023-11-14 13:00:00,7.36,0,SM4-D.2023-11-14 13:00:00,8.4,0
SM4-A.2023-11-14 14:00:00,8.27,0,SM4-B.2023-11-14 14:00:00,8.18,0,SM4-C.2023-11-14 14:00:00,8.23,0,SM4-D.2023-11-14 14:00:00,9.68,0
SM4-A.2023-11-14 15:00:00,9.3,0,SM4-B.2023-11-14 15:00:00,8.55,0,SM4-C.2023-11-14 15:00:00,7.72,0,SM4-D.2023-11-14 15:00:00,9,0
SM4-A.2023-11-14 16:00:00,7.63,0,SM4-B.2023-11-14 16:00:00,7.08,0,SM4-C.2023-11-14 16:00:00,5.62,0,SM4-D.2023-11-14 16:00:00,7.58,0
SM4-A.2023-11-14 17:00:00,7.8,0,SM4-B.2023-11-14 17:00:00,7.27,0,SM4-C.2023-11-14 17:00:00,5.31,0,SM4-D.2023-11-14 17:00:00,6.14,0
SM4-A.2023-11-14 18:00:00,7.57,0,SM4-B.2023-11-14 18:00:00,6.78,0,SM4-C.2023-11-14 18:00:00,4.39,0,SM4-D.2023-11-14 18:00:00,5.2,0
SM4-A.2023-11-14 19:00:00,8.32,0,SM4-B.2023-11-14 19:00:00,7.03,0,SM4-C.2023-11-14 19:00:00,3.83,0,SM4-D.2023-11-14 19:00:00,5.84,0
SM4-A.2023-11-14 20:00:00,6.88,0,SM4-B.2023-11-14 20:00:00,6.48,0,SM4-C.2023-11-14 20:00:00,3.28,0,SM4-D.2023-11-14 20:00:00,5.42,0
SM4-A.2023-11-14 21:00:00,5.47,0,SM4-B.2023-11-14 21:00:00,5.65,0,SM4-C.2023-11-14 21:00:00,3.24,0,SM4-D.2023-11-14 21:00:00,5.65,0
SM4-A.2023-11-14 22:00:00,6,0,SM4-B.2023-11-14 22:00:00,5.88,0,SM4-C.2023-11-14 22:00:00,2.95,0,SM4-D.2023-11-14 22:00:00,5.94,0
SM4-A.2023-11-14 23:00:00,5.99,0,SM4-B.2023-11-14 23:00:00,5.51,0,SM4-C.2023-11-14 23:00:00,4.08,0,SM4-D.2023-11-14 23:00:00,6.85,0
SM4-A.2023-11-15,6.42,0,SM4-B.2023-11-15,6.34,0,SM4-C.2023-11-15,5.51,0,SM4-D.2023-11-15,8.22,0
SM4-A.2023-11-15 01:00:00,6.42,0,SM4-B.2023-11-15 01:00:00,5.91,0,SM4-C.2023-11-15 01:00:00,4.78,0,SM4-D.2023-11-15 01:00:00,6.12,0
SM4-A.2023-11-15 02:00:00,4.36,0,SM4-B.2023-11-15 02:00:00,4.83,0,SM4-C.2023-11-15 02:00:00,3.84,0,SM4-D.2023-11-15 02:00:00,5.88,0
SM4-A.2023-11-15 03:00:00,3.27,0,SM4-B.2023-11-15 03:00:00,3.56,0,SM4-C.2023-11-15 03:00:00,2.73,0,SM4-D.2023-11-15 03:00:00,4.96,0
SM4-A.2023-11-15 04:00:00,6.61,0,SM4-B.2023-11-15 04:00:00,5.08,0,SM4-C.2023-11-15 04:00:00,4.48,0,SM4-D.2023-11-15 04:00:00,4.82,0
SM4-A.2023-11-15 05:00:00,4.36,0,SM4-B.2023-11-15 05:00:00,3.52,0,SM4-C.2023-11-15 05:00:00,4.04,0,SM4-D.2023-11-15 05:00:00,5.42,0
SM4-A.2023-11-15 06:00:00,5.07,0,SM4-B.2023-11-15 06:00:00,5.1,0,SM4-C.2023-11-15 06:00:00,5.57,0,SM4-D.2023-11-15 06:00:00,6.41,0
SM4-A.2023-11-15 07:00:00,3.81,0,SM4-B.2023-11-15 07:00:00,4.49,0,SM4-C.2023-11-15 07:00:00,4.55,0,SM4-D.2023-11-15 07:00:00,7.28,0
SM4-A.2023-11-15 08:00:00,3.76,0,SM4-B.2023-11-15 08:00:00,4.7,0,SM4-C.2023-11-15 08:00:00,4.5,0,SM4-D.2023-11-15 08:00:00,8.23,0
SM4-A.2023-11-15 09:00:00,3.47,0,SM4-B.2023-11-15 09:00:00,4.69,0,SM4-C.2023-11-15 09:00:00,4.03,0,SM4-D.2023-11-15 09:00:00,7.3,0
SM4-A.2023-11-15 10:00:00,3.28,0,SM4-B.2023-11-15 10:00:00,3.93,0,SM4-C.2023-11-15 10:00:00,4.13,0,SM4-D.2023-11-15 10:00:00,6.54,0
SM4-A.2023-11-15 11:00:00,3.11,0,SM4-B.2023-11-15 11:00:00,2.32,0,SM4-C.2023-11-15 11:00:00,3.94,0,SM4-D.2023-11-15 11:00:00,6.07,0
SM4-A.2023-11-15 12:00:00,4.06,0,SM4-B.2023-11-15 12:00:00,3.72,0,SM4-C.2023-11-15 12:00:00,4.34,0,SM4-D.2023-11-15 12:00:00,5.77,0
SM4-A.2023-11-15 13:00:00,1.43,0,SM4-B.2023-11-15 13:00:00,1.91,0,SM4-C.2023-11-15 13:00:00,2.73,0,SM4-D.2023-11-15 13:00:00,4.31,0
SM4-A.2023-11-15 14:00:00,2.67,0,SM4-B.2023-11-15 14:00:00,2.44,0,SM4-C.2023-11-15 14:00:00,2.67,0,SM4-D.2023-11-15 14:00:00,3.75,0
SM4-A.2023-11-15 15:00:00,4.45,0,SM4-B.2023-11-15 15:00:00,4.43,0,SM4-C.2023-11-15 15:00:00,4.41,0,SM4-D.2023-11-15 15:00:00,4.59,0
SM4-A.2023-11-15 16:00:00,3.38,0,SM4-B.2023-11-15 16:00:00,3.64,0,SM4-C.2023-11-15 16:00:00,3.29,0,SM4-D.2023-11-15 16:00:00,5.3,0
SM4-A.2023-11-15 17:00:00,4.88,0,SM4-B.2023-11-15 17:00:00,4.25,0,SM4-C.2023-11-15 17:00:00,2.94,0,SM4-D.2023-11-15 17:00:00,4.33,0
SM4-A.2023-11-15 18:00:00,5.86,0,SM4-B.2023-11-15 18:00:00,4.83,0,SM4-C.2023-11-15 18:00:00,3.07,0,SM4-D.2023-11-15 18:00:00,4.22,0
SM4-A.2023-11-15 19:00:00,5.81,0,SM4-B.2023-11-15 19:00:00,4.78,0,SM4-C.2023-11-15 19:00:00,2.34,0,SM4-D.2023-11-15 19:00:00,4.84,0
SM4-A.2023-11-15 20:00:00,6.26,0,SM4-B.2023-11-15 20:00:00,5.33,0,SM4-C.2023-11-15 20:00:00,2.54,0,SM4-D.2023-11-15 20:00:00,4.32,0
SM4-A.2023-11-15 21:00:00,5.7,0,SM4-B.2023-11-15 21:00:00,4.92,0,SM4-C.2023-11-15 21:00:00,3.2,0,SM4-D.2023-11-15 21:00:00,5.12,0
SM4-A.2023-11-15 22:00:00,6.65,0,SM4-B.2023-11-15 22:00:00,5.09,0,SM4-C.2023-11-15 22:00:00,4.39,0,SM4-D.2023-11-15 22:00:00,4.42,0
SM4-A.2023-11-15 23:00:00,9.09,0,SM4-B.2023-11-15 23:00:00,8.97,0,SM4-C.2023-11-15 23:00:00,5.29,0,SM4-D.2023-11-15 23:00:00,7.68,0
SM4-A.2023-11-16,8.8,0,SM4-B.2023-11-16,8.01,0,SM4-C.2023-11-16,6.08,0,SM4-D.2023-11-16,7.41,0
SM4-A.2023-11-16 01:00:00,7.62,0,SM4-B.2023-11-16 01:00:00,6.25,0,SM4-C.2023-11-16 01:00:00,6.28,0,SM4-D.2023-11-16 01:00:00,8.19,0
SM4-A.2023-11-16 02:00:00,7.07,0,SM4-B.2023-11-16 02:00:00,6.05,0,SM4-C.2023-11-16 02:00:00,6.52,0,SM4-D.2023-11-16 02:00:00,7.18,0
SM4-A.2023-11-16 03:00:00,7.62,0,SM4-B.2023-11-16 03:00:00,6.98,0,SM4-C.2023-11-16 03:00:00,4.96,0,SM4-D.2023-11-16 03:00:00,7.89,0
SM4-A.2023-11-16 04:00:00,9.01,0,SM4-B.2023-11-16 04:00:00,8.22,0,SM4-C.2023-11-16 04:00:00,4.65,0,SM4-D.2023-11-16 04:00:00,6.46,0
SM4-A.2023-11-16 05:00:00,8.71,0,SM4-B.2023-11-16 05:00:00,8.66,0,SM4-C.2023-11-16 05:00:00,5.42,0,SM4-D.2023-11-16 05:00:00,7.26,0
SM4-A.2023-11-16 06:00:00,7.02,0,SM4-B.2023-11-16 06:00:00,6.69,0,SM4-C.2023-11-16 06:00:00,5.93,0,SM4-D.2023-11-16 06:00:00,5.89,0
SM4-A.2023-11-16 07:00:00,8.05,0,SM4-B.2023-11-16 07:00:00,7.04,0,SM4-C.2023-11-16 07:00:00,6.11,0,SM4-D.2023-11-16 07:00:00,6.49,0
SM4-A.2023-11-16 08:00:00,7.22,0,SM4-B.2023-11-16 08:00:00,6.84,0,SM4-C.2023-11-16 08:00:00,5.54,0,SM4-D.2023-11-16 08:00:00,7.08,0
SM4-A.2023-11-16 09:00:00,10.53,0,SM4-B.2023-11-16 09:00:00,10.6,0,SM4-C.2023-11-16 09:00:00,8.94,0,SM4-D.2023-11-16 09:00:00,10.13,0
SM4-A.2023-11-16 10:00:00,6.06,0,SM4-B.2023-11-16 10:00:00,6.12,0,SM4-C.2023-11-16 10:00:00,6.15,0,SM4-D.2023-11-16 10:00:00,7.98,0
SM4-A.2023-11-16 11:00:00,8.89,0,SM4-B.2023-11-16 11:00:00,9.36,0,SM4-C.2023-11-16 11:00:00,8.53,0,SM4-D.2023-11-16 11:00:00,9.85,0
SM4-A.2023-11-16 12:00:00,3.04,0,SM4-B.2023-11-16 12:00:00,3.98,0,SM4-C.2023-11-16 12:00:00,5.22,0,SM4-D.2023-11-16 12:00:00,6.8,0
SM4-A.2023-11-16 13:00:00,4.11,0,SM4-B.2023-11-16 13:00:00,4.25,0,SM4-C.2023-11-16 13:00:00,5.25,0,SM4-D.2023-11-16 13:00:00,8.09,0
SM4-A.2023-11-16 14:00:00,7.57,0,SM4-B.2023-11-16 14:00:00,6.01,0,SM4-C.2023-11-16 14:00:00,8.09,0,SM4-D.2023-11-16 14:00:00,8.84,0
SM4-A.2023-11-16 15:00:00,6.73,0,SM4-B.2023-11-16 15:00:00,6.96,0,SM4-C.2023-11-16 15:00:00,7.81,0,SM4-D.2023-11-16 15:00:00,9.15,0
SM4-A.2023-11-16 16:00:00,3.95,0,SM4-B.2023-11-16 16:00:00,3.07,0,SM4-C.2023-11-16 16:00:00,6.1,0,SM4-D.2023-11-16 16:00:00,7.05,0
SM4-A.2023-11-16 17:00:00,7.94,0,SM4-B.2023-11-16 17:00:00,6.85,0,SM4-C.2023-11-16 17:00:00,9.18,0,SM4-D.2023-11-16 17:00:00,10.99,0
SM4-A.2023-11-16 18:00:00,9.64,0,SM4-B.2023-11-16 18:00:00,9.17,0,SM4-C.2023-11-16 18:00:00,9.77,0,SM4-D.2023-11-16 18:00:00,12.03,0
SM4-A.2023-11-16 19:00:00,9.94,0,SM4-B.2023-11-16 19:00:00,9.59,0,SM4-C.2023-11-16 19:00:00,8.95,0,SM4-D.2023-11-16 19:00:00,10.23,0
SM4-A.2023-11-16 20:00:00,9.49,0,SM4-B.2023-11-16 20:00:00,9.62,0,SM4-C.2023-11-16 20:00:00,8.51,0,SM4-D.2023-11-16 20:00:00,10.72,0
SM4-A.2023-11-16 21:00:00,8.14,0,SM4-B.2023-11-16 21:00:00,6.88,0,SM4-C.2023-11-16 21:00:00,8.22,0,SM4-D.2023-11-16 21:00:00,6.43,0
SM4-A.2023-11-16 22:00:00,8.7,0,SM4-B.2023-11-16 22:00:00,7.28,0,SM4-C.2023-11-16 22:00:00,8.05,0,SM4-D.2023-11-16 22:00:00,5.73,0
SM4-A.2023-11-16 23:00:00,9.17,0,SM4-B.2023-11-16 23:00:00,8.71,0,SM4-C.2023-11-16 23:00:00,6.16,0,SM4-D.2023-11-16 23:00:00,6.16,0
SM4-A.2023-11-17,9.16,0,SM4-B.2023-11-17,9.08,0,SM4-C.2023-11-17,7.35,0,SM4-D.2023-11-17,6.73,0
SM4-A.2023-11-17 01:00:00,7.2,0,SM4-B.2023-11-17 01:00:00,7.16,0,SM4-C.2023-11-17 01:00:00,7.26,0,SM4-D.2023-11-17 01:00:00,6.07,0
SM4-A.2023-11-17 02:00:00,7.37,0,SM4-B.2023-11-17 02:00:00,7.13,0,SM4-C.2023-11-17 02:00:00,7.19,0,SM4-D.2023-11-17 02:00:00,7.66,0
SM4-A.2023-11-17 03:00:00,9.74,0,SM4-B.2023-11-17 03:00:00,9.31,0,SM4-C.2023-11-17 03:00:00,4.87,0,SM4-D.2023-11-17 03:00:00,8.1,0
SM4-A.2023-11-17 04:00:00,11.01,0,SM4-B.2023-11-17 04:00:00,10.68,0,SM4-C.2023-11-17 04:00:00,9.43,0,SM4-D.2023-11-17 04:00:00,11.77,0
SM4-A.2023-11-17 05:00:00,9.34,0,SM4-B.2023-11-17 05:00:00,9.53,0,SM4-C.2023-11-17 05:00:00,6.24,0,SM4-D.2023-11-17 05:00:00,7.21,0
SM4-A.2023-11-17 06:00:00,10.41,0,SM4-B.2023-11-17 06:00:00,9.89,0,SM4-C.2023-11-17 06:00:00,9.55,0,SM4-D.2023-11-17 06:00:00,11.29,0
SM4-A.2023-11-17 07:00:00,9.29,0,SM4-B.2023-11-17 07:00:00,9.52,0,SM4-C.2023-11-17 07:00:00,8.04,0,SM4-D.2023-11-17 07:00:00,10.01,0
SM4-A.2023-11-17 08:00:00,12.05,0,SM4-B.2023-11-17 08:00:00,11.54,0,SM4-C.2023-11-17 08:00:00,8.98,0,SM4-D.2023-11-17 08:00:00,11.04,0
SM4-A.2023-11-17 09:00:00,14.61,0,SM4-B.2023-11-17 09:00:00,15.03,0,SM4-C.2023-11-17 09:00:00,11.92,0,SM4-D.2023-11-17 09:00:00,14.88,0
SM4-A.2023-11-17 10:00:00,12.78,0,SM4-B.2023-11-17 10:00:00,13.2,0,SM4-C.2023-11-17 10:00:00,12.65,0,SM4-D.2023-11-17 10:00:00,14.72,0
SM4-A.2023-11-17 11:00:00,12.12,0,SM4-B.2023-11-17 11:00:00,12.09,0,SM4-C.2023-11-17 11:00:00,12.55,0,SM4-D.2023-11-17 11:00:00,13.91,0
SM4-A.2023-11-17 12:00:00,11.51,0,SM4-B.2023-11-17 12:00:00,11.84,0,SM4-C.2023-11-17 12:00:00,12.22,0,SM4-D.2023-11-17 12:00:00,14.61,0
SM4-A.2023-11-17 13:00:00,13.33,0,SM4-B.2023-11-17 13:00:00,13.57,0,SM4-C.2023-11-17 13:00:00,11.67,0,SM4-D.2023-11-17 13:00:00,13.52,0
SM4-A.2023-11-17 14:00:00,13.95,0,SM4-B.2023-11-17 14:00:00,13.84,0,SM4-C.2023-11-17 14:00:00,12.35,0,SM4-D.2023-11-17 14:00:00,14.73,0
SM4-A.2023-11-17 15:00:00,13.39,0,SM4-B.2023-11-17 15:00:00,13.53,0,SM4-C.2023-11-17 15:00:00,12.24,0,SM4-D.2023-11-17 15:00:00,14.34,0
SM4-A.2023-11-17 16:00:00,13.08,0,SM4-B.2023-11-17 16:00:00,13.58,0,SM4-C.2023-11-17 16:00:00,12.01,0,SM4-D.2023-11-17 16:00:00,14.01,0
SM4-A.2023-11-17 17:00:00,13.16,0,SM4-B.2023-11-17 17:00:00,12.65,0,SM4-C.2023-11-17 17:00:00,11.19,0,SM4-D.2023-11-17 17:00:00,14.28,0
SM4-A.2023-11-17 18:00:00,12.3,0,SM4-B.2023-11-17 18:00:00,12.96,0,SM4-C.2023-11-17 18:00:00,11.54,0,SM4-D.2023-11-17 18:00:00,14.5,0
SM4-A.2023-11-17 19:00:00,13.89,0,SM4-B.2023-11-17 19:00:00,14.39,0,SM4-C.2023-11-17 19:00:00,12.5,0,SM4-D.2023-11-17 19:00:00,15.34,0
SM4-A.2023-11-17 20:00:00,14.21,0,SM4-B.2023-11-17 20:00:00,13.75,0,SM4-C.2023-11-17 20:00:00,12.55,0,SM4-D.2023-11-17 20:00:00,15.01,0
SM4-A.2023-11-17 21:00:00,13.94,0,SM4-B.2023-11-17 21:00:00,13.92,0,SM4-C.2023-11-17 21:00:00,12.05,0,SM4-D.2023-11-17 21:00:00,14.14,0
SM4-A.2023-11-17 22:00:00,13.73,0,SM4-B.2023-11-17 22:00:00,13.34,0,SM4-C.2023-11-17 22:00:00,13.28,0,SM4-D.2023-11-17 22:00:00,15.6,0
SM4-A.2023-11-17 23:00:00,12.9,0,SM4-B.2023-11-17 23:00:00,12.45,0,SM4-C.2023-11-17 23:00:00,11.29,0,SM4-D.2023-11-17 23:00:00,14.58,0
SM4-A.2023-11-18,13.45,0,SM4-B.2023-11-18,13.71,0,SM4-C.2023-11-18,11.8,0,SM4-D.2023-11-18,15.33,0
SM4-A.2023-11-18 01:00:00,13.19,0,SM4-B.2023-11-18 01:00:00,14.26,0,SM4-C.2023-11-18 01:00:00,11.79,0,SM4-D.2023-11-18 01:00:00,15.6,0
SM4-A.2023-11-18 02:00:00,13.78,0,SM4-B.2023-11-18 02:00:00,13.99,0,SM4-C.2023-11-18 02:00:00,12.43,0,SM4-D.2023-11-18 02:00:00,15.83,0
SM4-A.2023-11-18 03:00:00,13.45,0,SM4-B.2023-11-18 03:00:00,13.21,0,SM4-C.2023-11-18 03:00:00,12.53,0,SM4-D.2023-11-18 03:00:00,15.57,0
SM4-A.2023-11-18 04:00:00,12.26,0,SM4-B.2023-11-18 04:00:00,12.61,0,SM4-C.2023-11-18 04:00:00,12.73,0,SM4-D.2023-11-18 04:00:00,15.82,0
SM4-A.2023-11-18 05:00:00,12.39,0,SM4-B.2023-11-18 05:00:00,12.76,0,SM4-C.2023-11-18 05:00:00,12.64,0,SM4-D.2023-11-18 05:00:00,15.9,0
SM4-A.2023-11-18 06:00:00,11.93,0,SM4-B.2023-11-18 06:00:00,12.27,0,SM4-C.2023-11-18 06:00:00,11.66,0,SM4-D.2023-11-18 06:00:00,15.9,0
SM4-A.2023-11-18 07:00:00,14.02,0,SM4-B.2023-11-18 07:00:00,14.53,0,SM4-C.2023-11-18 07:00:00,13.08,0,SM4-D.2023-11-18 07:00:00,17.25,0
SM4-A.2023-11-18 08:00:00,13.8,0,SM4-B.2023-11-18 08:00:00,13.04,0,SM4-C.2023-11-18 08:00:00,12.52,0,SM4-D.2023-11-18 08:00:00,16.25,0
SM4-A.2023-11-18 09:00:00,13.85,0,SM4-B.2023-11-18 09:00:00,13.76,0,SM4-C.2023-11-18 09:00:00,13.15,0,SM4-D.2023-11-18 09:00:00,15.96,0
SM4-A.2023-11-18 10:00:00,14.67,0,SM4-B.2023-11-18 10:00:00,14.91,0,SM4-C.2023-11-18 10:00:00,13.85,0,SM4-D.2023-11-18 10:00:00,17.74,0
SM4-A.2023-11-18 11:00:00,14.65,0,SM4-B.2023-11-18 11:00:00,14.76,0,SM4-C.2023-11-18 11:00:00,13.84,0,SM4-D.2023-11-18 11:00:00,18.17,0
SM4-A.2023-11-18 12:00:00,13.83,0,SM4-B.2023-11-18 12:00:00,13.4,0,SM4-C.2023-11-18 12:00:00,12.75,0,SM4-D.2023-11-18 12:00:00,16.61,0
SM4-A.2023-11-18 13:00:00,13.52,0,SM4-B.2023-11-18 13:00:00,13.82,0,SM4-C.2023-11-18 13:00:00,12.98,0,SM4-D.2023-11-18 13:00:00,16.28,0
SM4-A.2023-11-18 14:00:00,13.82,0,SM4-B.2023-11-18 14:00:00,13.62,0,SM4-C.2023-11-18 14:00:00,12.12,0,SM4-D.2023-11-18 14:00:00,14.97,0
SM4-A.2023-11-18 15:00:00,13.25,0,SM4-B.2023-11-18 15:00:00,12.3,0,SM4-C.2023-11-18 15:00:00,11.1,0,SM4-D.2023-11-18 15:00:00,13.41,0
SM4-A.2023-11-18 16:00:00,12.98,0,SM4-B.2023-11-18 16:00:00,12.96,0,SM4-C.2023-11-18 16:00:00,12.15,0,SM4-D.2023-11-18 16:00:00,13.51,0
SM4-A.2023-11-18 17:00:00,13.43,9,SM4-B.2023-11-18 17:00:00,14.23,7,SM4-C.2023-11-18 17:00:00,12.31,7,SM4-D.2023-11-18 17:00:00,14.69,16
SM4-A.2023-11-18 18:00:00,10.9,15,SM4-B.2023-11-18 18:00:00,13.03,14,SM4-C.2023-11-18 18:00:00,12.47,9,SM4-D.2023-11-18 18:00:00,15.15,8
SM4-A.2023-11-18 19:00:00,10.24,23,SM4-B.2023-11-18 19:00:00,10.88,20,SM4-C.2023-11-18 19:00:00,12.98,6,SM4-D.2023-11-18 19:00:00,15.36,5
SM4-A.2023-11-18 20:00:00,9.69,3,SM4-B.2023-11-18 20:00:00,9.71,15,SM4-C.2023-11-18 20:00:00,11.72,11,SM4-D.2023-11-18 20:00:00,13.15,5
SM4-A.2023-11-18 21:00:00,9.44,4,SM4-B.2023-11-18 21:00:00,8.91,23,SM4-C.2023-11-18 21:00:00,10.72,20,SM4-D.2023-11-18 21:00:00,10.92,8
SM4-A.2023-11-18 22:00:00,10.35,5,SM4-B.2023-11-18 22:00:00,9.33,11,SM4-C.2023-11-18 22:00:00,11.93,13,SM4-D.2023-11-18 22:00:00,12.63,3
SM4-A.2023-11-18 23:00:00,10.29,2,SM4-B.2023-11-18 23:00:00,8.36,13,SM4-C.2023-11-18 23:00:00,11.97,15,SM4-D.2023-11-18 23:00:00,13.57,1
SM4-A.2023-11-19,8.37,3,SM4-B.2023-11-19,8.78,8,SM4-C.2023-11-19,11.31,3,SM4-D.2023-11-19,10.75,4
SM4-A.2023-11-19 01:00:00,7.17,8,SM4-B.2023-11-19 01:00:00,7.92,15,SM4-C.2023-11-19 01:00:00,11.48,5,SM4-D.2023-11-19 01:00:00,11.42,10
SM4-A.2023-11-19 02:00:00,7.34,0,SM4-B.2023-11-19 02:00:00,8.36,3,SM4-C.2023-11-19 02:00:00,10.92,6,SM4-D.2023-11-19 02:00:00,12.19,2
SM4-A.2023-11-19 03:00:00,7.82,3,SM4-B.2023-11-19 03:00:00,8.69,4,SM4-C.2023-11-19 03:00:00,8.99,9,SM4-D.2023-11-19 03:00:00,12.45,10
SM4-A.2023-11-19 04:00:00,7.81,5,SM4-B.2023-11-19 04:00:00,9.02,10,SM4-C.2023-11-19 04:00:00,9.17,4,SM4-D.2023-11-19 04:00:00,11.44,3
SM4-A.2023-11-19 05:00:00,9.25,1,SM4-B.2023-11-19 05:00:00,9.97,5,SM4-C.2023-11-19 05:00:00,9.79,3,SM4-D.2023-11-19 05:00:00,12.31,0
SM4-A.2023-11-19 06:00:00,7.24,0,SM4-B.2023-11-19 06:00:00,7.77,0,SM4-C.2023-11-19 06:00:00,7.18,0,SM4-D.2023-11-19 06:00:00,9.41,0
SM4-A.2023-11-19 07:00:00,5.79,0,SM4-B.2023-11-19 07:00:00,5.73,0,SM4-C.2023-11-19 07:00:00,5.63,0,SM4-D.2023-11-19 07:00:00,7.84,0
SM4-A.2023-11-19 08:00:00,5.91,0,SM4-B.2023-11-19 08:00:00,6.18,0,SM4-C.2023-11-19 08:00:00,5.59,0,SM4-D.2023-11-19 08:00:00,9.4,0
SM4-A.2023-11-19 09:00:00,7.27,0,SM4-B.2023-11-19 09:00:00,8.38,0,SM4-C.2023-11-19 09:00:00,8.56,0,SM4-D.2023-11-19 09:00:00,12.17,0
SM4-A.2023-11-19 10:00:00,10.57,0,SM4-B.2023-11-19 10:00:00,12.93,0,SM4-C.2023-11-19 10:00:00,11.69,0,SM4-D.2023-11-19 10:00:00,16.4,0
SM4-A.2023-11-19 11:00:00,13.69,0,SM4-B.2023-11-19 11:00:00,14.56,0,SM4-C.2023-11-19 11:00:00,14.71,0,SM4-D.2023-11-19 11:00:00,19.27,0
